SpectrumID	Compound_Name	Ion_Source	Instrument	Compound_Source	PI	Data_Collector	Adduct	Precursor_MZ	ExactMass	Charge	CAS_Number	Pubmed_ID	Smiles	INCHI	INCHI_AUX	Library_Class	IonMode	UpdateWorkflowName	LibraryQualityString	#Scan#	SpectrumFile	LibraryName	MQScore	Organism	TIC_Query	RT_Query	MZErrorPPM	SharedPeaks	MassDiff	LibMZ	SpecMZ	SpecCharge	FileScanUniqueID	NumberHits	tags	MoleculeExplorerDatasets	MoleculeExplorerFiles	InChIKey	InChIKey-Planar	superclass	class	subclass	npclassifier_superclass	npclassifier_class	npclassifier_pathway
CCMSLIB00003136283	Spectral Match to Kaempferol 3-O-rutinoside from NIST14	ESI	qTof	Isolated	Data from Wolfender/Litaudon	Data deposited by pmallard	M+H	595.165	594.159	1	17650849	N/A	C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC=C(C=C5)O)O)O)O)O)O)O	InChI=1S/C27H30O15/c1-9-17(31)20(34)22(36)26(39-9)38-8-15-18(32)21(35)23(37)27(41-15)42-25-19(33)16-13(30)6-12(29)7-14(16)40-24(25)10-2-4-11(28)5-3-10/h2-7,9,15,17-18,20-23,26-32,34-37H,8H2,1H3/t9-,15+,17-,18+,20+,21-,22+,23+,26+,27-/m0/s1	N/A	3	Positive	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze	4853	spectra_filtered/specs_ms.mgf	lib-00018.mgf	0.9734950000000001	GNPS-NIST14-MATCHES	27152500.0	279.876	1.02552	8	0.000610352	595.165	595.1659999999999	1	spectra_filtered/specs_ms.mgf4853	3		29	1289	RTATXGUCZHCSNG-QHWHWDPRSA-N	RTATXGUCZHCSNG	N/A	N/A	N/A	Flavonoids	Flavonols	Shikimates and Phenylpropanoids
CCMSLIB00005777866	Massbank:FIO00930 Cynarine	ESI	qTof	Isolated	Massbank	Massbank	M+H	517.134	0.0	1	N/A	N/A	Oc(c1)c(O)cc(C=CC(=O)O[C@@H]([C@@H](O)2)C[C@@](OC(=O)C=Cc(c3)cc(O)c(O)c3)(C(O)=O)C[C@@H](O)2)c1	1S/C25H24O12/c26-15-5-1-13(9-17(15)28)3-7-21(31)36-20-12-25(24(34)35,11-19(30)23(20)33)37-22(32)8-4-14-2-6-16(27)18(29)10-14/h1-10,19-20,23,26-30,33H,11-12H2,(H,34,35)/b7-3+,8-4+/t19-,20-,23+,25-/m1/s1	N/A	3	Positive	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze	6299	spectra_filtered/specs_ms.mgf	lib-00050.mgf	0.9708829999999999	MASSBANK	4924700.0	306.392	0.0	7	0.0	517.134	517.134	1	spectra_filtered/specs_ms.mgf6299	3		0	0	YDDUMTOHNYZQPO-GCBRTHAASA-N	YDDUMTOHNYZQPO	N/A	N/A	N/A	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives	Shikimates and Phenylpropanoids
CCMSLIB00005777866	Massbank:FIO00930 Cynarine	ESI	qTof	Isolated	Massbank	Massbank	M+H	517.134	0.0	1	N/A	N/A	Oc(c1)c(O)cc(C=CC(=O)O[C@@H]([C@@H](O)2)C[C@@](OC(=O)C=Cc(c3)cc(O)c(O)c3)(C(O)=O)C[C@@H](O)2)c1	1S/C25H24O12/c26-15-5-1-13(9-17(15)28)3-7-21(31)36-20-12-25(24(34)35,11-19(30)23(20)33)37-22(32)8-4-14-2-6-16(27)18(29)10-14/h1-10,19-20,23,26-30,33H,11-12H2,(H,34,35)/b7-3+,8-4+/t19-,20-,23+,25-/m1/s1	N/A	3	Positive	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze	6098	spectra_filtered/specs_ms.mgf	lib-00050.mgf	0.966461	MASSBANK	8889400.0	302.82099999999997	0.0	8	0.0	517.134	517.134	1	spectra_filtered/specs_ms.mgf6098	3		0	0	YDDUMTOHNYZQPO-GCBRTHAASA-N	YDDUMTOHNYZQPO	N/A	N/A	N/A	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives	Shikimates and Phenylpropanoids
CCMSLIB00004702521	Diosmin	N/A	ESI-QFT	isolated	MoNA	MoNA:VF-NPL-QEHF011458	[M+H]+	609.181	0.0	1	N/A	N/A	N/A	InChI=1S/C28H32O15/c1-10-21(32)23(34)25(36)27(40-10)39-9-19-22(33)24(35)26(37)28(43-19)41-12-6-14(30)20-15(31)8-17(42-18(20)7-12)11-3-4-16(38-2)13(29)5-11/h3-8,10,19,21-30,32-37H,9H2,1-2H3	N/A	3	positive	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze	5746	spectra_filtered/specs_ms.mgf	lib-00003.mgf	0.9619559999999999	MONA	28317800.0	295.949	0.300576	14	0.000183105	609.181	609.181	1	spectra_filtered/specs_ms.mgf5746	3		0	0	GZSOSUNBTXMUFQ-UHFFFAOYSA-N	GZSOSUNBTXMUFQ	N/A	N/A	N/A	N/A	N/A	N/A
CCMSLIB00004696347	phellopterin	N/A	ESI-QFT	isolated	MoNA	MoNA:VF-NPL-QEHF005284	[M+H]+	517.134	0.0	1	N/A	N/A	N/A	InChI=1S/C25H24O12/c26-15-5-1-13(9-17(15)28)3-7-21(31)36-20-12-25(35,24(33)34)11-19(30)23(20)37-22(32)8-4-14-2-6-16(27)18(29)10-14/h1-10,19-20,23,26-30,35H,11-12H2,(H,33,34)/b7-3+,8-4+/t19-,20-,23-,25+/m1/s1	N/A	3	positive	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze	6299	spectra_filtered/specs_ms.mgf	lib-00003.mgf	0.9605030000000001	MONA	4924700.0	306.392	0.0	15	0.0	517.134	517.134	1	spectra_filtered/specs_ms.mgf6299	3		0	0	UFCLZKMFXSILNL-PSEXTPKNSA-N	UFCLZKMFXSILNL	N/A	N/A	N/A	N/A	N/A	N/A
CCMSLIB00005738609	Massbank:RP017302 Kaempferol-3-glucoside|Astragalin|5,7-dihydroxy-2-(4-hydroxyphenyl)-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one	ESI	qTof	Isolated	Massbank	Massbank	M+H	449.108	0.0	1	480-10-4	N/A	OC[C@H]1O[C@@H](Oc2c(oc3cc(O)cc(O)c3c2=O)-c2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O	1S/C21H20O11/c22-7-13-15(26)17(28)18(29)21(31-13)32-20-16(27)14-11(25)5-10(24)6-12(14)30-19(20)8-1-3-9(23)4-2-8/h1-6,13,15,17-18,21-26,28-29H,7H2/t13-,15-,17+,18-,21+/m1/s1	N/A	3	Positive	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze	5359	spectra_filtered/specs_ms.mgf	lib-00050.mgf	0.9565319999999999	MASSBANK	30380200.0	289.107	0.203855	7	9.15527e-05	449.108	449.108	1	spectra_filtered/specs_ms.mgf5359	3		0	0	JPUKWEQWGBDDQB-QSOFNFLRSA-N	JPUKWEQWGBDDQB	N/A	N/A	N/A	Flavonoids	Flavonols	Shikimates and Phenylpropanoids
CCMSLIB00003136283	Spectral Match to Kaempferol 3-O-rutinoside from NIST14	ESI	qTof	Isolated	Data from Wolfender/Litaudon	Data deposited by pmallard	M+H	595.165	594.159	1	17650849	N/A	C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC=C(C=C5)O)O)O)O)O)O)O	InChI=1S/C27H30O15/c1-9-17(31)20(34)22(36)26(39-9)38-8-15-18(32)21(35)23(37)27(41-15)42-25-19(33)16-13(30)6-12(29)7-14(16)40-24(25)10-2-4-11(28)5-3-10/h2-7,9,15,17-18,20-23,26-32,34-37H,8H2,1H3/t9-,15+,17-,18+,20+,21-,22+,23+,26+,27-/m0/s1	N/A	3	Positive	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze	3369	spectra_filtered/specs_ms.mgf	lib-00018.mgf	0.955512	GNPS-NIST14-MATCHES	28555000.0	255.74099999999999	1.74338	8	0.0010375999999999999	595.165	595.1659999999999	1	spectra_filtered/specs_ms.mgf3369	3		29	1289	RTATXGUCZHCSNG-QHWHWDPRSA-N	RTATXGUCZHCSNG	N/A	N/A	N/A	Flavonoids	Flavonols	Shikimates and Phenylpropanoids
CCMSLIB00003135444	Spectral Match to 1-Stearoyl-2-linoleoyl-sn-glycero-3-phosphocholine from NIST14	ESI	qTof	Isolated	Data from Pieter Dorrestein	Data deposited by daniel	M+H	786.597	785.594	1	27098244	N/A	CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC	InChI=1S/C44H84NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45(3,4)5)53-44(47)37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h15,17,21,23,42H,6-14,16,18-20,22,24-41H2,1-5H3/b17-15-,23-21-/t42-/m1/s1	N/A	3	Positive	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze	12194	spectra_filtered/specs_ms.mgf	lib-00018.mgf	0.955333	GNPS-NIST14-MATCHES	890300.0	493.267	4.96601	5	0.00390625	786.597	786.6010000000001	1	spectra_filtered/specs_ms.mgf12194	3		63	3708	FORFDCPQKJHEBF-VPUSDGANSA-N	FORFDCPQKJHEBF	N/A	N/A	N/A	N/A	N/A	N/A
CCMSLIB00003136543	Spectral Match to 1-Stearoyl-2-linoleoyl-sn-glycero-3-phosphocholine from NIST14	ESI	qTof	Isolated	Data from Pieter Dorrestein	Data deposited by daniel	M+H	786.599	785.594	1	27098244	N/A	CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC	InChI=1S/C44H84NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45(3,4)5)53-44(47)37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h15,17,21,23,42H,6-14,16,18-20,22,24-41H2,1-5H3/b17-15-,23-21-/t42-/m1/s1	N/A	3	Positive	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze	12194	spectra_filtered/specs_ms.mgf	lib-00018.mgf	0.954607	GNPS-NIST14-MATCHES	890300.0	493.267	2.40541	5	0.00189209	786.599	786.6010000000001	1	spectra_filtered/specs_ms.mgf12194	3		63	3708	FORFDCPQKJHEBF-VPUSDGANSA-N	FORFDCPQKJHEBF	N/A	N/A	N/A	N/A	N/A	N/A
CCMSLIB00000221463	ReSpect:PT109200 Kaempferol-3-Glucoside-3''-Rhamnoside|Kaem-3-Glc-3''-Rha|Kaempferol-3-rungioside	ESI	LC-Q-TOF/MS	Isolated	Putative ReSpect Match	ReSpect	[M+H]	595.166	0.0	1	28447-29-2	N/A	c	N/A	N/A	3	Positive	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze	4853	spectra_filtered/specs_ms.mgf	lib-00043.mgf	0.954192	RESPECT	27152500.0	279.876	0.71786	6	0.000427246	595.166	595.1659999999999	1	spectra_filtered/specs_ms.mgf4853	3		0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
