CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
4924	5148	1	0.7171	18.033
5149	5213	1	0.7883	0.051
5148	5213	1	0.7267	-17.960
5148	5199	1	0.8856	0.051
5149	5198	1	0.7624	19.066
4394	5199	1	0.7097	18.063
5148	5149	1	0.9281	-18.011
4394	5149	1	0.817	0.001
5148	5159	1	0.7846	-19.014
4394	4924	1	0.7085	-0.021
4924	5149	1	0.8052	0.022
5149	5199	1	0.8611	18.062
5198	5199	1	0.8819	-1.005
5199	5213	1	0.7349	-18.011
5149	5159	1	0.8584	-1.003
5148	5198	1	0.7826	1.056
5159	5199	1	0.7302	19.065
4394	5148	1	0.776	18.012
4394	5159	1	0.76	-1.002
10756	12877	2	0.883	0.000
11508	11609	2	0.7273	-0.971
11263	11930	2	0.7784	-1.003
11629	11707	2	0.8423	0.036
11891	13123	2	0.7065	-14.015
13382	13888	2	0.7672	-1.003
12112	13888	2	0.7925	-15.019
13424	13437	2	0.826	-0.036
11609	12180	2	0.7269	0.000
10916	11174	2	0.7144	-43.989
12601	13382	2	0.7146	-13.012
13085	13195	2	0.8339	1.012
11164	11934	2	0.7321	-13.849
11885	11891	2	0.9812	-0.036
11891	13888	2	0.7577	-15.019
10752	13193	2	0.766	-13.012
11930	11934	2	0.8927	1.003
13187	13424	2	0.7123	0.036
12877	13195	2	0.7277	1.012
11629	13085	2	0.75	14.015
13187	13888	2	0.7404	-15.019
12111	13193	2	0.846	-0.037
12471	12942	2	0.738	18.011
12198	12285	2	0.7064	0.048
12696	13860	2	0.7058	-13.012
13123	13187	2	0.7025	14.014
13187	13437	2	0.8012	0.000
11831	12180	2	0.7334	-0.971
10756	11934	2	0.7575	-14.016
11174	11329	2	0.9257	0.000
13379	13888	2	0.8558	-0.000
11842	12936	2	0.7419	0.000
12112	12936	2	0.716	15.995
11609	11724	2	0.8555	0.971
11934	13195	2	0.7809	15.028
10731	11309	2	0.7368	-44.993
13899	13926	2	0.8588	0.036
12936	13787	2	0.751	-0.105
11934	12111	2	0.8768	0.037
11885	12112	2	0.8456	-0.036
13085	13123	2	0.7063	-11.999
13187	13379	2	0.7152	-15.019
11399	13437	2	0.74	-15.995
12705	12736	2	0.9367	-0.084
13085	13899	2	0.706	-12.000
13379	13899	2	0.8493	1.003
11724	11891	2	0.7132	2.016
10684	10731	2	0.7413	-1.048
12601	12696	2	0.7003	14.015
13379	13926	2	0.7749	1.039
11885	13926	2	0.7664	-14.015
11891	12601	2	0.8716	-1.003
12478	12874	2	0.7361	0.001
12180	13802	2	0.7332	-13.044
10679	10684	2	0.7127	-1.003
11930	12111	2	0.8091	1.040
13088	13860	2	0.701	-13.979
12112	13123	2	0.7567	-14.015
12112	13187	2	0.7718	-0.000
12705	13437	2	0.7277	-14.015
11934	13193	2	0.9268	-0.000
12285	13088	2	0.8279	-0.000
12747	12942	2	0.7264	-0.000
11441	13358	2	0.7757	-0.073
11174	11309	2	0.8696	-1.003
13123	13379	2	0.7737	-1.004
11174	11201	2	0.7047	43.990
10752	11930	2	0.7838	-14.016
11654	11664	2	0.864	-1.003
10756	12874	2	0.7508	-2.006
